PetID;PetType;Breed;Gender;AgeMonths;Color;Size;WeightKg;Vaccinated;HealthCondition;TimeInShelterDays;AdoptionFee;PreviousOwner;AdoptionLikelihood
500;Bird;Parakeet;M;131;Orange;Large;5,039767822529520;1;0;27;140;0;0
501;Rabbit;Rabbit;M;73;White;Large;16,086726854616700;0;0;8;235;0;0
502;Dog;Golden Retriever;M;136;Orange;Medium;2,0762862789067700;0;0;85;385;0;0
503;Bird;Parakeet;M;97;White;Small;3,339423254344140;0;0;61;217;1;0
504;Rabbit;Rabbit;M;123;Gray;Large;20,49809976164310;0;0;28;14;1;0
505;Dog;Labrador;F;70;Brown;Large;20,986260902398000;0;0;87;301;1;0
506;Bird;Parakeet;M;169;Brown;Small;10,90261279164480;1;0;70;440;1;0
507;Cat;Siamese;F;13;Orange;Large;7,252683192048300;1;0;3;137;0;1
508;Bird;Parakeet;M;49;Brown;Medium;24,59759785196190;1;1;69;405;0;0
509;Bird;Parakeet;M;60;Gray;Large;7,2959936546268200;0;0;73;231;1;0
510;Bird;Parakeet;M;130;Orange;Large;16,71878502032500;0;0;7;88;0;0
511;Rabbit;Rabbit;M;5;White;Small;29,078056385024300;1;0;60;462;0;1
512;Dog;Golden Retriever;M;172;Brown;Large;5,28772069800913;1;0;4;76;1;0
513;Cat;Siamese;F;27;Black;Large;28,28541175734660;1;0;5;135;0;0
514;Cat;Persian;F;160;Brown;Medium;6,303898538991390;1;0;11;404;0;1
515;Rabbit;Rabbit;M;149;White;Small;17,45585303267370;1;0;15;468;1;0
516;Cat;Persian;F;8;Orange;Small;11,933223646803600;1;1;64;405;1;0
517;Cat;Persian;F;50;White;Medium;28,98292944355300;1;0;13;109;0;1
518;Rabbit;Rabbit;M;67;Black;Large;8,932718841056170;1;1;7;352;1;0
519;Dog;Labrador;F;44;Gray;Small;12,590082060486900;0;1;6;300;0;0
520;Rabbit;Rabbit;M;125;Brown;Small;29,502943417807200;1;0;56;90;0;0
521;Cat;Persian;F;58;Orange;Large;16,557641344465700;0;0;64;423;1;0
522;Dog;Labrador;F;3;Gray;Large;15,57627335301640;1;0;50;369;1;1
523;Dog;Golden Retriever;M;86;White;Small;8,475576157915750;1;0;30;405;0;0
524;Bird;Parakeet;M;70;Orange;Large;21,3395432490028;1;0;22;413;0;0
525;Bird;Parakeet;M;130;Gray;Small;1,4168156015555500;1;0;25;189;0;0
526;Cat;Persian;F;172;Orange;Large;2,4358662613665100;1;0;28;72;0;0
527;Rabbit;Rabbit;M;2;Black;Large;18,38139902693830;1;1;84;172;0;0
528;Rabbit;Rabbit;M;102;Black;Medium;10,90856264073520;0;0;39;34;0;0
529;Rabbit;Rabbit;M;35;Brown;Large;28,646174793827900;0;1;67;209;0;0
530;Bird;Parakeet;M;98;Brown;Medium;27,192530030960800;1;0;5;297;0;1
531;Cat;Persian;F;30;Black;Large;21,69748150162450;1;1;65;132;0;0
532;Bird;Parakeet;M;116;Orange;Small;24,72622185270620;1;0;15;282;1;0
533;Cat;Siamese;F;8;Black;Small;20,352623640363100;1;0;67;197;0;1
534;Rabbit;Rabbit;M;150;Brown;Large;4,64188097859466;1;0;40;445;0;0
535;Bird;Parakeet;M;44;Black;Large;23,20075772098690;0;0;69;31;1;0
536;Rabbit;Rabbit;M;36;Black;Small;7,095567092846550;1;0;77;135;1;0
537;Rabbit;Rabbit;M;77;Orange;Large;10,379842797905700;0;0;43;247;0;0
538;Dog;Golden Retriever;M;31;Gray;Medium;24,757792150970200;1;0;1;358;0;1
539;Dog;Golden Retriever;M;47;Brown;Medium;16,55924264341;0;0;22;340;1;0
540;Bird;Parakeet;M;55;Orange;Medium;25,938280711318900;1;0;62;145;0;1
541;Dog;Labrador;F;106;Black;Medium;7,1780242754546600;0;0;79;333;1;1
542;Bird;Parakeet;M;158;Black;Medium;18,62557471959970;1;0;26;142;0;1
543;Cat;Persian;F;121;Gray;Large;3,429938203899590;1;1;18;233;0;0
544;Dog;Poodle;F;55;Brown;Large;19,64876881266090;1;0;48;409;0;0
